7616,7072
89522,82460
429598,427530
369310,366674
20481,19527
7632,7088
1899344,1893272
189012,184520
4761,4434
4341,4108
167763,2592
7847,7297
58251,53312
18829,18265
132945,132272
51120,46943
505520,418549
19023,18691
44555,43382
235835,231513
1396,1206
6673,5279
20716,19757
1205,1154
198278,194677
861639,856538
8293,7747
1485,1296
39479,37725
1746564,1745897
29533,28653
295415,282177
567091,559993
28892,23893
541289,0
59190,20139
8253,7706
176514,178785
50586,46772
93268,8234
68231,23492
9669485,4820699
20836,19876
41236,38712
157614,151251
61539,53138
784797,0
67702,67465
20527,19568
52197,47720
248025,243744
4097,3870
7784,7173
95830,89519
186202,181862
15275248,15275011
1175,1121
45516,43670
171462,154881
4089,3862
60848,59951
327470,300549
7587,7041
119710,118930
7425,6875
7546,6997
10622,10392
23080,22810
3273859,3117394
39585,33715
5399,5311
339128,333773
1582,1530
2020959,2001101
1424,1376
530683,525445
1254,1200
50301,49957
14189,13476
33103,32451
67106,62833
484480,392205
4330,4043
101110,100733
75414,66821
266788,260595
1067409,0
5452,5264
57339,57099
199435,201225
88106,88027
1992,1829
190408,187640
106920,104931
31107,29841
122712,121949
22185,18846
74655,69706
2863,2236
69370,66463
240558,49854
63511,17641
79864580,79553627
39129,38860
380839,226531
3058,2896
7456,6909
7693,7144
9519905,9515381
37260,25076
146783,136709
7638,7093
55348,51192
22852,20676
1416,1368
151423,112660
37813,35490
73184,67701
94535,84579
8039,7493
7300,6011
327673,20032
17626,16735
2943,2248
41441,41172
320215,321132
265808,0
96048,9074
321786,342105
7423,6874
2881,2255
2563093,2555925
747636,686930
112219,104817
7152767,7136985
7364,6815
20570,19618
74398,72056
148294,143022
348874,328254
7861,7309
12175,11757
75527,73175
87093,72673
3959,3670
1693,1640
29327,28447
1810,1620
15753,15493
13606027,13595761
793331,790218
297843,297177
64000,0
655638,653670
7361858,7261329
11629629,11591530
707361,704954
4215,4045
10000449,9999705
1982,1753
21957,15359
247873,231367
15808,14983
41211,41063
5055797,4923785
11688,11474
167145,168140
38489,37730
91491,8203
167277,82546
2077,1921
3157126,3141123
1661,1472
256646,245191
40724,39553
8007851,7902288
109907,109778
102366,96591
334215,330378
7960,7415
107583,105361
1203,1153
60455,54585
129368,116923
1137,947
1134149,701194
4512239,4509008
65508,62194
1625,1434
103521,103277
68682,67818
7679,7132
114409,108713
255880,244424
1113,1061
78280,74483
38434,37675
7552,7003
4633647,4796480
